Date,Open,High,Low,Close,Adj Close,Volume
1999-04-28,1.5144230127334595,1.5336530208587646,1.5144230127334595,1.5144230127334595,0.9579988121986389,16120
1999-04-29,1.5769230127334595,1.5769230127334595,1.531730055809021,1.531730055809021,0.9689467549324036,5720
1999-04-30,1.5480760335922241,1.5769230127334595,1.5480760335922241,1.5769230127334595,0.9975353479385376,11440
1999-05-03,1.557692050933838,1.5586529970169067,1.557692050933838,1.5586529970169067,0.9859775900840759,7280
1999-05-04,1.5586529970169067,1.5586529970169067,1.5586529970169067,1.5586529970169067,0.9859775900840759,0
1999-05-05,1.5586529970169067,1.5586529970169067,1.5586529970169067,1.5586529970169067,0.9859775900840759,0
1999-05-06,1.5096149444580078,1.557692050933838,1.5096149444580078,1.557692050933838,0.985369861125946,10400
1999-05-07,1.557692050933838,1.557692050933838,1.557692050933838,1.557692050933838,0.985369861125946,0
1999-05-10,1.557692050933838,1.557692050933838,1.5,1.5096149444580078,0.9549573063850403,24544
1999-05-11,1.5096149444580078,1.5096149444580078,1.5096149444580078,1.5096149444580078,0.9549573063850403,0
1999-05-12,1.4298069477081299,1.5,1.4298069477081299,1.5,0.9488751292228699,10400
1999-05-13,1.5,1.5,1.5,1.5,0.9488751292228699,0
1999-05-14,1.3942300081253052,1.4298069477081299,1.3461530208587646,1.4298069477081299,0.9044719338417053,56368
1999-05-17,1.3846149444580078,1.4134609699249268,1.3798069953918457,1.3798069953918457,0.8728428483009338,54080
1999-05-18,1.4423069953918457,1.4903839826583862,1.4134609699249268,1.4134609699249268,0.8941317796707153,52000
1999-05-19,1.483652949333191,1.4874999523162842,1.4423069953918457,1.4423069953918457,0.9123793244361877,20800
1999-05-20,1.4423069953918457,1.4423069953918457,1.4423069953918457,1.4423069953918457,0.9123793244361877,0
1999-05-21,1.6057690382003784,1.7259609699249268,1.4874999523162842,1.4874999523162842,0.9409676194190979,62400
1999-05-24,1.4874999523162842,1.4874999523162842,1.4874999523162842,1.4874999523162842,0.9409676194190979,0
1999-05-25,1.6807689666748047,1.7259609699249268,1.6807689666748047,1.7259609699249268,1.0918142795562744,10400
1999-05-26,1.7259609699249268,1.7259609699249268,1.6807689666748047,1.6807689666748047,1.063226342201233,10400
1999-05-27,1.8173069953918457,1.8269230127334595,1.7259609699249268,1.7259609699249268,1.0918142795562744,20800
1999-05-28,1.7259609699249268,1.7259609699249268,1.7259609699249268,1.7259609699249268,1.0918142795562744,0
1999-05-31,1.7259609699249268,1.7259609699249268,1.7259609699249268,1.7259609699249268,1.0918142795562744,0
1999-06-01,1.7692300081253052,1.8278839588165283,1.7692300081253052,1.8269230127334595,1.1556810140609741,182000
