S&P500
MMM
AOS
AES
AME
ANSS
APA
T
ABBV
ABT
ACN
ATVI
ADBE
AAP
AMD
AFL
A
APD
AKAM
ALK
ALB
ARE
ALGN
ALLE
LNT
ALL
GOOGL
GOOG
MO
AMZN
AMCR
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AMGN
APH
ADI
AON
AAPL
AMAT
APTV
ACGL
ADM
ANET
AJG
AIZ
ATO
AZO
ADSK
ADP
AVB
AVY
BKR
BALL
BAC
BK
BBWI
BAX
BDX
BRK-B
BBY
BIO
TECH
BIIB
BLK
BA
BKNG
BWA
BXP
BSX
BMY
AVGO
BR
BRO
BF-B
CHRW
CBRE
CDW
CF
CME
CMS
CSX
CVS
CDNS
CZR
CPT
CPB
COF
KMX
CAH
CCL
CARR
CTLT
CAT
CBOE
CE
CNC
CNP
CDAY
CRL
SCHW
CHTR
CVX
CMG
CB
CHD
CI
CINF
CTAS
CSCO
C
CFG
CLX
CSGP
KO
CTSH
CL
CMCSA
CMA
CAG
COP
ED
STZ
CEG
COO
CPRT
GLW
CTVA
COST
CTRA
CCI
CMI
DHI
XRAY
DISH
DTE
DXC
DVA
DHR
DRI
DE
DAL
DVN
DXCM
FANG
DLR
DFS
DG
DLTR
D
DPZ
DOV
DOW
DD
DUK
EOG
EPAM
EQT
EMN
ETN
ECL
EIX
EW
EA
ELV
LLY
EMR
ENPH
ETR
EFX
EQIX
EQR
ESS
EL
ETSY
RE
EVRG
ES
EXC
EXPE
EXPD
EXR
XOM
FFIV
FLT
FMC
FDS
FAST
FDX
FRT
FIS
FITB
FRC
FSLR
FE
FISV
F
FTNT
FTV
FOXA
FOX
BEN
FCX
GEHC
GRMN
IT
GEN
GNRC
GD
GE
GIS
GM
GPC
GILD
GPN
GL
GS
HCA
HPQ
HAL
HIG
HAS
PEAK
HSIC
HSY
HES
HPE
HLT
HOLX
HD
HON
HRL
HST
HWM
HUM
HBAN
HII
IEX
IDXX
IQV
ITW
ILMN
INCY
IR
INTC
ICE
IBM
IFF
IP
IPG
INTU
ISRG
IVZ
INVH
IRM
JBHT
SJM
JPM
JKHY
J
JNJ
JCI
JNPR
KLAC
K
KDP
KEY
KEYS
KMB
KIM
KMI
KHC
KR
LHX
LKQ
LH
LRCX
LW
LVS
LDOS
LEN
LNC
LIN
LYV
LMT
L
LOW
LUMN
LYB
MTB
MGM
MSCI
MRO
MPC
MKTX
MAR
MMC
MLM
MAS
MA
MTCH
MKC
MCD
MCK
MDT
MRK
MET
META
MTD
MCHP
MU
MSFT
MAA
MRNA
MHK
MOH
TAP
MDLZ
MPWR
MNST
MCO
MS
MOS
MSI
NKE
NRG
NVDA
NVR
NXPI
NDAQ
NTAP
NFLX
NWL
NEM
NWSA
NWS
NEE
NI
NDSN
NSC
NTRS
NOC
NCLH
NUE
ORLY
ON
OKE
OXY
ODFL
OMC
ORCL
OGN
OTIS
PCAR
PCG
PNC
PPG
PPL
PTC
PKG
PARA
PH
PYPL
PAYX
PAYC
PNR
PEP
PKI
PFE
PM
PSX
PNW
PXD
POOL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
QCOM
QRVO
PWR
DGX
RL
RJF
RTX
O
REG
REGN
RF
RSG
RMD
RHI
ROK
ROL
ROP
ROST
RCL
SPGI
SBAC
STE
SIVB
CRM
SLB
STX
SEE
SRE
NOW
SHW
SBNY
SPG
SWKS
SNA
SEDG
SO
LUV
SWK
SBUX
STT
STLD
SYK
SYF
SNPS
SYY
TMUS
TROW
TEL
TJX
TTWO
TPR
TRGP
TGT
TDY
TFX
TER
TSLA
TXN
TXT
TMO
TSCO
TT
TDG
TRV
TRMB
TFC
TYL
TSN
USB
UDR
ULTA
UNP
UAL
UPS
URI
UNH
UHS
VFC
VICI
VLO
VTR
VRSN
VRSK
VZ
VRTX
VTRS
V
VMC
WRB
GWW
WEC
WBA
WMT
DIS
WBD
WM
WAT
WFC
WELL
WST
WRK
WDC
WAB
WY
WHR
WMB
WTW
WYNN
XEL
XYL
YUM
ZBRA
ZBH
ZION
ZTS
EBAY
